id,target
135309,0
135310,0
135311,0
135312,1
135313,0
135314,0
135315,0
135316,0
135317,0
135318,0
135319,0
135320,1
135321,1
135322,0
135323,0
135324,0
135325,0
135326,1
135327,0
135328,0
135329,0
135330,0
135331,0
135332,0
135333,0
135334,1
135335,0
135336,0
135337,0
135338,0
135339,0
135340,0
135341,0
135342,0
135343,0
135344,0
135345,0
135346,0
135347,0
135348,0
135349,0
135350,1
135351,0
135352,0
135353,1
135354,0
135355,0
135356,0
135357,0
135358,0
135359,0
135360,0
135361,0
135362,0
135363,0
135364,0
135365,0
135366,0
135367,0
135368,0
135369,1
135370,0
135371,0
135372,0
135373,0
135374,0
135375,0
135376,0
135377,1
135378,0
135379,0
135380,0
135381,0
135382,0
135383,0
135384,0
135385,0
135386,0
135387,0
135388,0
135389,0
135390,0
135391,0
135392,1
135393,0
135394,0
135395,0
135396,0
135397,0
135398,0
135399,0
135400,0
135401,0
135402,0
135403,0
135404,0
135405,1
135406,0
135407,0
135408,0
135409,0
135410,0
135411,0
135412,0
135413,0
135414,0
135415,0
135416,0
135417,0
135418,0
135419,0
135420,0
135421,0
135422,0
135423,1
135424,0
135425,1
135426,0
135427,0
135428,0
135429,0
135430,1
135431,0
135432,0
135433,0
135434,0
135435,0
135436,0
135437,0
135438,0
135439,0
135440,0
135441,0
135442,0
135443,0
135444,0
135445,0
135446,0
135447,0
135448,0
135449,1
135450,0
135451,0
135452,0
135453,0
135454,0
135455,0
135456,0
135457,1
135458,0
135459,0
135460,0
135461,0
135462,0
135463,0
135464,0
135465,0
135466,0
135467,0
135468,0
135469,0
135470,0
135471,0
135472,0
135473,0
135474,0
135475,0
135476,0
135477,0
135478,1
135479,0
135480,0
135481,0
135482,0
135483,0
135484,0
135485,0
135486,0
135487,0
135488,0
135489,1
135490,0
135491,0
135492,0
135493,0
135494,0
135495,0
135496,0
135497,0
135498,1
135499,0
135500,0
135501,0
135502,0
135503,0
135504,0
135505,0
135506,0
135507,0
135508,0
135509,0
135510,0
135511,0
135512,0
135513,0
135514,0
135515,0
135516,0
135517,0
135518,0
135519,0
135520,0
135521,1
135522,0
135523,0
135524,1
135525,0
135526,0
135527,0
135528,0
135529,0
135530,0
135531,1
135532,0
135533,0
135534,0
135535,0
135536,0
135537,0
135538,0
135539,1
135540,0
135541,1
135542,0
135543,0
135544,0
135545,0
135546,0
135547,0
135548,0
135549,0
135550,1
135551,0
135552,0
135553,0
135554,0
135555,0
135556,0
135557,0
135558,0
135559,1
135560,0
135561,0
135562,0
135563,0
135564,0
135565,0
135566,0
135567,0
135568,0
135569,0
135570,0
135571,0
135572,0
135573,0
135574,0
135575,0
135576,0
135577,0
135578,0
135579,0
135580,0
135581,0
135582,0
135583,0
135584,1
135585,0
135586,0
135587,0
135588,0
135589,0
135590,0
135591,0
135592,0
135593,0
135594,0
135595,0
135596,0
135597,1
135598,0
135599,0
135600,0
135601,0
135602,1
135603,0
135604,1
135605,0
135606,0
135607,0
135608,0
135609,0
135610,0
135611,0
135612,1
135613,0
135614,0
135615,0
135616,0
135617,0
135618,0
135619,0
135620,0
135621,0
135622,0
135623,0
135624,0
135625,0
135626,0
135627,0
135628,0
135629,0
135630,0
135631,0
135632,0
135633,0
135634,1
135635,0
135636,0
135637,0
135638,0
135639,0
135640,0
135641,1
135642,0
135643,0
135644,0
135645,0
135646,0
135647,0
135648,0
135649,0
135650,0
135651,0
135652,1
135653,1
135654,0
135655,0
135656,1
135657,0
135658,0
135659,0
135660,0
135661,0
135662,0
135663,0
135664,0
135665,0
135666,0
135667,0
135668,0
135669,0
135670,0
135671,0
135672,0
135673,1
135674,0
135675,0
135676,0
135677,0
135678,0
135679,0
135680,0
135681,0
135682,0
135683,0
135684,0
135685,1
135686,0
135687,0
135688,0
135689,0
